,Assists_Cross,Assists_Corner,Assists_Throughball,Assists_Freekick,Assists_Throwin,Assists_Other,Assists_Total,PassesLength_Total,PassesLength_AccLB,PassesLength_InAccLB,PassesLength_AccSP,PassesLength_InAccSP,PassesType_AccCr,PassesType_InAccCr,PassesType_AccCrn,PassesType_InAccCrn,PassesType_AccFrK,PassesType_InAccFrK,KeyPassesLength_Total,KeyPassesLength_Long,KeyPassesLength_Short,KeyPassesType_Cross,KeyPassesType_Corner,KeyPassesType_Throughball,KeyPassesType_Freekick,KeyPassesType_Throwin,KeyPassesType_Other,Pts,Rating
PSG19,0.3,0.1,0.3,0,0,1.3,1.9,621.3,23.1,13.1,529.2,55.9,3.4,12,3.2,3.1,10.5,0.9,11.1,1.7,9.4,2.1,1,1.1,0.1,0.1,7.9,91,7.05
Lyon19,0.3,0,0.2,0,0,0.9,1.4,548.6,26.1,19.6,445.2,57.6,5.2,12.8,2.8,3.1,10.2,1.2,13,2.2,10.8,3,1.1,0.6,0.4,0,9.2,72,6.91
Lille19,0.2,0.1,0.2,0.1,0,0.8,1.3,438.1,23.9,29.8,331.3,53.2,3.9,11.3,1.7,2.6,10.8,2.8,10.1,1.7,8.4,2.5,1,0.7,0.5,0,6.7,72,6.84
Montpellier19,0.2,0.1,0.1,0,0,0.4,0.7,416.7,36.2,31.6,291.1,57.8,5.1,14.6,1.8,2.7,9.7,2.6,9.7,1.7,8,2.9,0.8,0.3,0.5,0.2,6.1,59,6.81
Saint-Etienne19,0.5,0.1,0.1,0.1,0,0.5,1.1,453.9,31.8,32.8,336.1,53.2,4.4,15.9,2.6,3.3,8.7,3.5,9.7,1.8,7.9,2.5,1.1,0.3,0.4,0.1,6.6,66,6.78
Marseille19,0.3,0.1,0.1,0,0,0.8,1.2,473.7,26.6,27.2,363.6,56.3,5.7,16.1,2.5,3.4,9.2,2.7,10.7,1.8,8.9,3.6,1.4,0.4,0.6,0,6.3,61,6.78
Nice19,0.1,0,0,0.1,0,0.3,0.5,521.6,27.6,24.1,420.9,49.1,3.3,9.7,2.1,2.5,12.9,1.6,8.7,1.7,7,1.9,1,0.3,0.5,0,6.2,56,6.76
Nimes19,0.4,0.2,0.1,0.1,0,0.4,1,358.7,27.5,35.8,239.3,56.1,4.5,14.8,2,3.3,7.9,4.8,9.7,1.9,7.7,2.7,1.3,0.3,0.5,0.1,6.3,53,6.75
Rennes19,0.2,0.1,0,0,0,0.7,0.9,424.2,27,27.2,317.4,52.7,3.8,13.7,2.1,2.9,9.3,1.7,8.5,1.8,6.8,2,0.6,0.2,0.3,0,6.2,52,6.73
Strasbourg19,0.4,0.1,0.2,0,0,0.5,1.1,444.6,37.3,29.3,320.4,57.6,4.4,14.5,1.8,2.3,9.2,1.8,8.2,1.7,6.4,2.6,0.9,0.3,0.4,0.1,5,49,6.73
Reims19,0.2,0,0.1,0,0,0.4,0.7,368,27.3,32.1,252.2,56.4,3.9,12.8,1.6,2.7,8.3,3.7,7.9,1.3,6.6,1.7,0.6,0.4,0.3,0.1,5.6,55,6.72
Nantes19,0.2,0.1,0.1,0,0,0.5,0.7,417.7,26.8,31.8,293.8,65.4,5,14.1,2.2,2.6,9,3.1,10,1.8,8.2,2.5,0.9,0.2,0.8,0,6.9,48,6.71
Angers19,0.3,0.1,0.1,0,0,0.3,0.7,396.7,24.5,29.5,289.8,52.9,3.7,12.9,1.6,2.8,8.1,3.6,8.7,1.6,7.1,2.3,0.9,0.3,0.6,0.1,5.8,46,6.70
Bordeaux19,0.2,0,0.1,0,0,0.4,0.7,444.6,27.8,30.1,329,57.7,3.6,13.7,1.6,2.8,10.3,2.7,8.7,1.4,7.3,2.1,0.7,0.3,0.3,0,6.1,41,6.67
Toulouse19,0.2,0,0.1,0,0,0.2,0.4,402.5,26.7,31.6,286.6,57.6,3.7,12.9,1.7,2.5,9.2,3.5,8.2,1.6,6.6,2.5,0.9,0.3,0.4,0,5.1,38,6.62
Monaco19,0.2,0.1,0,0,0,0.5,0.7,424.7,23.6,26.3,318.1,56.7,4.7,14.9,2.3,2.8,10.3,3.2,8.5,1.6,6.8,2.7,1.1,0.2,0.3,0.1,5.4,36,6.61
Dijon19,0.1,0.1,0.1,0,0,0.4,0.5,403.5,31.6,33.6,284.1,54.2,4.1,11.8,2.3,2.1,8.3,3.2,8.7,1.6,7.1,2.3,1,0.2,0.3,0.1,5.8,34,6.59
Caen19,0.2,0,0,0.1,0,0.2,0.4,361.7,34.2,34.8,242.2,50.5,3.5,13.5,1.3,2,8.7,4.2,5.8,1.4,4.4,1.9,0.5,0.1,0.4,0.1,3.6,33,6.59
Amiens19,0.2,0,0.1,0.1,0,0.3,0.6,382.7,25.7,34.6,264.6,57.7,3.3,12,1.4,2.2,9.1,4.3,7.5,1.1,6.4,1.6,0.6,0.3,0.6,0.1,5.3,38,6.57
Guingamp19,0.3,0.1,0.1,0.1,0,0.2,0.6,363.9,27.7,32.2,246,58,4.8,16.5,1.9,3.2,7.9,3.5,8,1.6,6.4,2.4,0.8,0.1,0.6,0.1,5.2,27,6.55
PSG18,0.4,0.1,0.5,0,0,1.1,2,651.1,28.9,12.3,554.4,55.4,4.1,13.8,4,2.7,12.9,0.9,12.2,1.4,10.8,2.3,0.7,1.5,0.3,0,8.2,93,7.16
Lyon18,0.4,0.1,0.1,0,0,1.1,1.6,508.4,25,20.8,407.3,55.3,4.2,10.9,2.1,2.7,11.1,2.1,11.1,1.8,9.3,2.4,1.1,0.6,0.2,0,7.9,78,7.04
