;Tackles_TotalTackles;Tackles_DribbledPast;Tackles_TotalAttemptedTackles;Interception_Total;Fouls_Fouled;Fouls_Fouls;Cards_Yellow;Cards_Red;OffSides_CaughtOffside;Clearances_Total;Blocks_ShotsBlocked;Blocks_CrossesBlocked;Blocks_PassesBlocked;Saves_Total;Saves_SixYardBox;Saves_PenaltyArea;Saves_OutOfBox;PassesLength_Total;PassesLength_AccLB;PassesLength_InAccLB;PassesLength_AccSP;PassesLength_InAccSP;PassesType_AccCr;PassesType_InAccCr;PassesType_AccCrn;PassesType_InAccCrn;PassesType_AccFrK;PassesType_InAccFrK;ShotsZones_OutOfBox;ShotsZones_SixYardBox;ShotsZones_PenaltyArea;ShotsSituations_OpenPlay;shotsSituations_Counter;ShotsSituations_SetPiece;ShotsSituations_PenaltyTaken;ShotsAccuracy_OffTarget;ShotsAccuracy_OnPost;ShotsAccuracy_OnTarget;ShotsAccuracy_Blocked;ShotsBodyParts_RightFoot;ShotsBodyParts_LeftFoot;ShotsBodyParts_Head;ShotsBodyParts_Other;Dribbles_Unsuccessful;Dribbles_Successful;Dribbles_Total;PossesionLoss_UnsuccessfulTouches;PossesionLoss_Dispossessed;Aerial_Total;Aerial_Won;Aerial_Lost;Pts
PSG11;19.3;6.6;25.9;16.6;14.6;14.7;1.6;0.1;2.3;26.6;2.8;2.3;0;2.7;0.1;1.1;1.6;396.2;26.9;24.2;275;70.1;6.3;20.4;2.5;4;9.1;3.3;5.7;0.7;8.3;9.5;0.3;1.1;0.1;6.6;0.3;5.4;2.8;6.1;5.5;3.1;0;8.5;5.4;13.9;12.4;10.5;26;14.6;11.4;60
Lorient11;18.5;6.3;24.8;14.6;16.3;11.8;1.3;0.2;2.1;27.2;2.5;2.5;0;3.1;0.1;1.7;1.3;487.7;31.8;25.7;359.2;71.1;4.1;19.2;1.8;3.4;11.3;2.6;5.5;0.5;6.1;8.7;0.5;0.6;0.1;5.1;0.3;4.3;2.6;7.6;3.1;1.4;0;11.1;7.4;18.4;12.1;13.9;19.1;9;10.1;49
Rennes11;21.3;6.1;27.3;17.3;14.3;16;1.5;0.2;1.9;30.9;1.9;1.8;0;2.8;0.1;1.5;1.2;421;28.9;27.6;298;66.5;3.6;13.5;1.5;2.2;8.3;3;5.7;0.6;5.1;8;0.4;1.1;0.2;5.3;0.2;3.7;2.3;7.2;2.4;1.7;0.1;8.4;7.9;16.4;11.9;12.4;24.3;12.7;11.6;56
Bordeaux11;17.6;5.4;23.1;17.6;17.2;16.1;2;0.1;1.8;25.1;1.8;1.9;0;2.5;0.1;1.4;1;407.7;32.1;26.2;279.7;69.7;5.4;18.9;1.9;3.6;10.7;3.2;6.6;1.1;5.9;8.4;0.4;1.4;0.2;6;0.2;4.4;3.1;6.9;3.9;2.7;0;6.6;5.4;11.9;11.2;11.6;26.4;13.8;12.6;51
Lyon11;21.2;6.9;28.1;14;15.3;16;1.5;0.2;2.6;21.8;2.2;2;0;2.7;0.1;1.4;1.3;445.3;31.2;27.7;310.9;75.5;5.7;18.4;1.9;3.7;8.8;3.5;6.7;1.1;7;9.2;0.6;0.8;0.1;6.7;0.4;4.9;3.1;6.8;5.8;2.2;0;7.2;6.9;14.2;13;12.8;24.1;12.1;12;64
Valenciennes11;22.2;6.7;28.9;15.6;13.8;15.7;1.8;0.1;2.2;27.5;3.1;2.3;0;3;0;1.6;1.4;392.9;33.1;33.8;258.2;67.8;5.8;18.3;1.8;2.3;6.3;5.4;5.7;0.7;5.2;8.3;0.3;0.7;0.1;5;0.1;4;2.6;6.2;3.3;2.1;0;2.8;5;7.8;11.2;14.5;27;13.4;13.6;48
Toulouse11;19.9;7.4;27.3;19.9;14.9;19.4;1.6;0.1;2;21.3;2.1;2.1;0;2.6;0;1.4;1.2;400.7;26.2;29.2;270.9;74.4;4.6;15.6;1.4;2.6;7.9;3.8;4.1;0.3;5.3;5.6;0.8;1.3;0.1;4.5;0.3;3.5;1.7;4.9;2.9;1.8;0.1;13.2;8.1;21.3;11.6;10;24.8;12.5;12.3;50
Auxerre11;17.6;7.2;24.7;17.4;12.3;14.8;1.9;0;2;35.6;3.2;2.9;0;2.4;0;1.2;1.2;372;27.6;31.9;245.8;66.8;4.4;16;1.4;2.6;5.9;4.3;5.3;0.5;5.6;7.4;0.6;1;0.1;4.8;0.1;3.8;2.7;6.4;3.4;1.6;0;6.3;4.9;11.2;12.4;10.4;23.7;12.5;11.2;49
Lens11;20.8;6.2;26.9;20.1;16.8;16.4;1.4;0.1;2.7;29.9;3.2;2;0;3;0.2;1.5;1.3;345.3;33.2;28.4;218.3;65.3;5.7;19.1;2.2;2.3;8.6;3.6;5.9;0.8;5.7;8.7;0.3;0.7;0.1;6;0.2;3.7;2.6;5.9;3.9;2.5;0.1;7.5;7.7;15.2;11.8;14.5;31.3;15.6;15.8;35
Monaco11;17.8;6.1;23.9;17.5;15.1;16.6;2;0.1;2.3;32.8;3.1;2.3;0;3.3;0.1;1.8;1.5;352.6;25.9;30.7;228.1;67.9;4.5;17.7;1.3;2.7;7;3.9;5;0.6;6;7.5;0.6;1.2;0.1;5.6;0.3;3.6;2.4;6.9;2.8;1.9;0;7.5;4.1;11.6;9.8;9.9;27.1;13.1;14;44
