X	Tackles_TotalTackles	Tackles_DribbledPast	Tackles_TotalAttemptedTackles	Interception_Total	Fouls_Fouled	Fouls_Fouls	Cards_Yellow	Cards_Red	OffSides_CaughtOffside	Clearances_Total	Blocks_ShotsBlocked	Blocks_CrossesBlocked	Blocks_PassesBlocked	Saves_Total	Saves_SixYardBox	Saves_PenaltyArea	Saves_OutOfBox	Pts
Lorient12	18.1	6.1	24.2	16.9	15.6	12.3	1.7	0.1	3	33.2	2	1.8	0	2.8	0	1.6	1.2	39
Nice12	17	5.9	22.9	18.5	13.2	16.1	1.8	0.2	2.5	21.3	2.8	2.1	0	2.8	0	1.1	1.7	42
Auxerre12	17.8	5.7	23.5	20.7	12.4	16.3	2.2	0.1	2.5	26.4	2.8	3	0	2.5	0.2	1.3	0.9	34
Thonon-Evian12	19.2	7.8	27	19.7	13.5	16.1	2.2	0.2	2.2	29.3	2.8	2	0	3.7	0.1	2.1	1.6	50
Caen12	24	9	33	19.1	13.9	17.9	1.8	0.2	2.3	24.9	3.3	3	0	3.6	0.2	1.9	1.5	38
Sochaux12	16.4	5.9	22.4	15.3	15.1	14	1.3	0.2	1.9	38.8	2.7	2.5	0	3.1	0.1	1.7	1.3	42
Valenciennes12	20.9	6.6	27.5	15	13.6	16.9	1.8	0.1	2.3	27.5	2.2	1.9	0	2.8	0.1	1.5	1.2	43
Dijon12	20.6	6.8	27.4	16.8	15.4	15.3	2.1	0.2	2.4	28.1	3.3	2.4	0	3.2	0.2	1.8	1.3	36
AC-Ajaccio12	20	6.7	26.7	15.9	14.9	16	2.4	0.2	3.1	37.5	3.6	2.8	0	4.1	0.3	1.8	1.9	41
Lille11	20.2	6.8	27.1	18	16.3	13.7	1.4	0	2.2	23.4	2.2	1.7	0	2.8	0.1	1.2	1.5	76
Marseille11	19.5	6.5	26	19.1	15.2	16.4	1.6	0.1	1.8	21	2.6	2.9	0	2.2	0.1	1.2	0.9	68
Sochaux11	17.6	4.8	22.4	12.2	13.9	15.1	1.3	0.1	1.8	36.3	2.8	2.9	0	4	0.2	1.7	2.1	58
Nancy11	19.4	7.7	27.1	17.8	15.8	15.8	1.6	0.2	1.3	27.6	2.5	2.4	0	2.6	0.2	1.6	0.8	48
Brest11	23.4	7.2	30.6	20.5	15.1	16.9	1.3	0	2.4	33.6	2.8	2.5	0	3.1	0.1	1.6	1.3	46
Caen11	21.6	8.9	30.6	20.3	15.5	18.3	2.2	0.1	2.5	30.9	3.7	2.8	0	3.6	0.1	2	1.4	46
PSG11	19.3	6.6	25.9	16.6	14.6	14.7	1.6	0.1	2.3	26.6	2.8	2.3	0	2.7	0.1	1.1	1.6	60
Lorient11	18.5	6.3	24.8	14.6	16.3	11.8	1.3	0.2	2.1	27.2	2.5	2.5	0	3.1	0.1	1.7	1.3	49
Rennes11	21.3	6.1	27.3	17.3	14.3	16	1.5	0.2	1.9	30.9	1.9	1.8	0	2.8	0.1	1.5	1.2	56
Bordeaux11	17.6	5.4	23.1	17.6	17.2	16.1	2	0.1	1.8	25.1	1.8	1.9	0	2.5	0.1	1.4	1	51
Lyon11	21.2	6.9	28.1	14	15.3	16	1.5	0.2	2.6	21.8	2.2	2	0	2.7	0.1	1.4	1.3	64
Valenciennes11	22.2	6.7	28.9	15.6	13.8	15.7	1.8	0.1	2.2	27.5	3.1	2.3	0	3	0	1.6	1.4	48
Toulouse11	19.9	7.4	27.3	19.9	14.9	19.4	1.6	0.1	2	21.3	2.1	2.1	0	2.6	0	1.4	1.2	50
Auxerre11	17.6	7.2	24.7	17.4	12.3	14.8	1.9	0	2	35.6	3.2	2.9	0	2.4	0	1.2	1.2	49
Lens11	20.8	6.2	26.9	20.1	16.8	16.4	1.4	0.1	2.7	29.9	3.2	2	0	3	0.2	1.5	1.3	35
Monaco11	17.8	6.1	23.9	17.5	15.1	16.6	2	0.1	2.3	32.8	3.1	2.3	0	3.3	0.1	1.8	1.5	44
Saint-Etienne11	20.3	5.4	25.6	16.3	13.4	15.8	1.7	0.1	2	32	2.9	2.4	0	3.1	0.2	1.1	1.8	49
Nice11	21.3	6.1	27.4	13.7	15.8	13.6	2.1	0.1	2.8	28.7	2.9	2.6	0	3.1	0.1	1.6	1.4	46
