X	Tackles_TotalTackles	Tackles_DribbledPast	Tackles_TotalAttemptedTackles	Interception_Total	Fouls_Fouled	Fouls_Fouls	Cards_Yellow	Cards_Red	OffSides_CaughtOffside	Clearances_Total	Blocks_ShotsBlocked	Blocks_CrossesBlocked	Blocks_PassesBlocked	Saves_Total	Saves_SixYardBox	Saves_PenaltyArea	Saves_OutOfBox	Pts
Marseille15	19.9	8.9	28.8	15.6	14.7	14	1.7	0.1	3.3	26.4	2.9	1.8	7	2.5	0.1	1.3	1.1	69
Lyon15	19.2	7.6	26.8	11.7	14.2	15.2	1.7	0	2.1	22.9	2	1.6	6.5	2.7	0.1	1.7	0.9	75
Monaco15	20.1	9.7	29.8	19.9	13.5	13.3	1.5	0.1	2.1	23.8	2.1	2.7	9.9	2.2	0	1.2	0.9	71
Saint-Etienne15	19	8.7	27.7	13.3	12.4	14.7	1.7	0.1	2.3	33.7	2.3	2.2	7.4	2.5	0.1	1.3	1.1	69
Montpellier15	21.9	10	31.9	20.9	16.2	13.7	1.3	0	2.1	28.9	2.5	2.8	9.7	3	0.1	1.7	1.2	56
Caen15	22.9	10.2	33.1	19	10.5	11.8	1.1	0.2	2.3	28.4	3	2.7	9.3	3.2	0.2	1.8	1.3	46
Lille15	17.6	8.1	25.7	17.2	16.3	12.2	1.7	0.1	1.5	25.6	2.1	3	8.2	2.5	0.1	1.4	1	56
Lorient15	16.3	7.4	23.7	15.7	11.7	12	1.4	0.1	2.1	24.8	2.1	2.4	8.2	3.4	0.2	2	1.2	43
Bordeaux15	19.2	8.1	27.3	13.6	14	13.2	1.6	0.1	2.1	29.4	2.3	2.5	7.9	2.4	0.2	1.4	0.9	63
Nantes15	20.8	8.7	29.5	18	10.2	15	1.9	0.1	2.2	30	2	2.1	8.1	2.6	0.2	1.4	1.1	45
Nice15	22.6	9.4	31.9	23.6	14.2	14.4	2.2	0.2	2.2	22.9	2.3	2.8	7.9	2.6	0.1	1.6	0.9	48
Rennes15	18.5	7.3	25.8	17.2	10.8	12.8	1.5	0	2.3	25.3	2.8	3.8	7	2.5	0.1	1	1.4	50
SC-Bastia15	19.9	9.2	29.1	15.3	12.9	14.8	2	0.1	2.6	30.7	2.7	2.6	7.5	2.8	0.1	1.5	1.3	47
Toulouse15	19.6	8.2	27.8	20.6	13.7	15.3	1.6	0.1	2.2	25.5	2.5	3.2	9.2	2.4	0.1	1.2	1.2	42
Guingamp15	20.6	9.9	30.6	18.5	14.3	12.5	1.6	0.2	2.3	25.3	2.3	3.3	7.7	3.1	0.2	1.5	1.4	49
Reims15	18.4	8.7	27.2	16	12.9	14.3	2	0.1	1.9	31.9	2.9	2.6	7.9	3.1	0.1	2	1	44
Metz15	22.3	8.7	31	16.4	10.5	15.8	1.9	0.1	2.3	28.3	2.8	3.3	8.7	2.6	0.1	1.7	0.8	30
Lens15	21.4	9.6	30.9	14.8	10.9	14.5	1.8	0.1	1.7	25.8	2.5	2.7	8.2	2.9	0	1.6	1.3	29
Thonon-Evian15	20.1	9.8	29.9	19.2	11.7	14	1.8	0.1	2	30.1	2.1	2.7	10.7	2.7	0.1	1.6	1.1	37
PSG14	18.5	5.4	23.9	14.6	13	11.9	1.6	0	3.4	18.7	2.8	2.9	5.7	2.1	0.1	0.9	1.2	89
Monaco14	19.7	6.8	26.6	15.9	13.9	14.1	1.7	0	2.1	24.9	2	2.7	7.2	2.6	0.2	1.1	1.3	80
Lille14	18.6	7.1	25.6	15.6	14.3	14.1	1.4	0.2	2.9	29.5	2.2	2.1	5.8	2.4	0.2	1.3	0.9	71
Saint-Etienne14	19.1	6.8	25.9	12.4	12.1	14.4	1.8	0.1	2.1	39.2	2.3	2.9	6.8	2.1	0.1	1	1.1	69
Marseille14	19	7.4	26.3	12.8	13.6	13.9	1.6	0	2.2	32.1	2.3	3.2	6.2	2.2	0.1	1.3	0.8	60
Bordeaux14	20.8	7.1	27.9	14.8	13	13.2	1.3	0.2	2.4	23.6	1.9	2.9	7.8	2.8	0.1	1.6	1.1	53
Lyon14	18.5	6.8	25.3	11.6	12.1	14.6	1.4	0.2	1.9	26	1.6	2.3	6.4	2.3	0	1.4	0.9	61
Reims14	19.1	6.5	25.6	17.7	10.6	13.9	1.5	0.1	1.6	31.3	3.2	3.6	5.6	3.8	0.1	1.8	1.9	48
Toulouse14	21.9	7.7	29.7	17.9	14.6	13.6	2	0.1	2.5	25.4	2.7	2.2	7.6	2.5	0.1	1.2	1.2	49
Rennes14	19	6.2	25.2	14.7	12.3	11.6	1.3	0.1	1.7	32.7	3.6	3.8	6.2	3.2	0.1	2	1.1	46
